"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","144","Попытка изменить данные без авторизации","tests","2025-11-11","passed","2025-11-11","TestUserProfile","User profile API tests","",""
"","167","Регистрация с отсутствующими полями","tests","2025-11-11","passed","2025-11-11","TestAuth","Auth API tests","",""
"","145","Создание заказа без авторизации с ингредиентами","tests","2025-11-11","passed","2025-11-11","TestOrders","Orders API tests","",""
"","336","Регистрация нового уникального пользователя","tests","2025-11-11","passed","2025-11-11","TestAuth","Auth API tests","",""
"","1170","Создание заказа с невалидными ингредиентами","tests","2025-11-11","passed","2025-11-11","TestOrders","Orders API tests","",""
"","143","Создание заказа без ингредиентов (ошибка)","tests","2025-11-11","passed","2025-11-11","TestOrders","Orders API tests","",""
"","269","Успешный логин","tests","2025-11-11","passed","2025-11-11","TestAuth","Auth API tests","",""
"","3674","Получение заказов пользователя по токену","tests","2025-11-11","passed","2025-11-11","TestOrders","Orders API tests","",""
"","155","Изменение имени авторизованного пользователя","tests","2025-11-11","passed","2025-11-11","TestUserProfile","User profile API tests","",""
"","144","Логин с неправильными данными","tests","2025-11-11","passed","2025-11-11","TestAuth","Auth API tests","",""
"","163","Регистрация с отсутствующими полями","tests","2025-11-11","passed","2025-11-11","TestAuth","Auth API tests","",""
"","165","Регистрация с отсутствующими полями","tests","2025-11-11","passed","2025-11-11","TestAuth","Auth API tests","",""
"","162","Регистрация уже существующего пользователя","tests","2025-11-11","passed","2025-11-11","TestAuth","Auth API tests","",""
"","3092","Создание заказа с авторизацией и валидными ингредиентами","tests","2025-11-11","passed","2025-11-11","TestOrders","Orders API tests","",""
